Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,5009.0,18.0,160.0,8424.0,0.1,155.80527999999995,0.0,0.0,1367.1746230125427,,,,,,,,,,,,,,,,,,,,,72.40756159950199,44.7083515485915,144.50894352218066,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,5511.0,19.0,502.0,8926.0,0.1,481.04688000000095,0.0,0.0,1415.1588804721832,,,,,,,,,,,,,,,,,,,,,205.04048391510636,111.15172572546265,378.8739260527965,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,6008.0,20.0,497.0,9423.0,0.1,444.62848000000014,0.0,0.0,1462.8575575351715,,,,,,,,,,,,,,,,,,,,,175.47487651596433,111.94279843285376,358.1333749881678,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,392.0,1.0,392.0,9815.0,0.1,371.33040000000074,0.0,0.0,2499.5256350040436,,,,,,,,,,,,,,,,,,,,,159.021351666981,96.41635493090294,309.61294642645015,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,664.0,2.0,272.0,10087.0,0.1,275.4448000000007,0.0,0.0,2525.866147518158,,,,,,,,,,,,,,,,,,,,,126.09889705086185,72.75087593294266,241.6289162056608,0.00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,950.0,3.0,286.0,10373.0,0.1,268.8508800000004,0.0,0.0,2553.296204328537,,,,,,,,,,,,,,,,,,,,,115.90235768863809,74.19150733348928,236.17491936486007,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,1173.0,4.0,223.0,10596.0,0.1,205.7279999999999,0.0,0.0,2574.8380568027496,,,,,,,,,,,,,,,,,,,,,91.27323863401622,56.4249486523672,185.74537278481137,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,1445.0,5.0,272.0,10868.0,0.1,259.3665600000004,0.0,0.0,2601.4270050525665,,,,,,,,,,,,,,,,,,,,,116.56559749778526,68.55167704599178,228.11672280949875,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,1565.0,6.0,120.0,10988.0,0.1,105.80847999999989,0.0,0.0,2612.95814204216,,,,,,,,,,,,,,,,,,,,,48.66927935304514,32.040935226787084,100.16840311546241,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,1754.0,7.0,189.0,11177.0,0.1,174.3264,0.0,0.0,2631.0330317020416,,,,,,,,,,,,,,,,,,,,,78.51556857965697,50.36012468802635,159.80641055314067,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
